"BehaviorSpace results (NetLogo 6.1.1)"
"wasps.nlogo"
"experiment-1"
"10/28/2019 20:47:27:655 +1300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","208","0","325"
"[run number]","r-mean","r-sd","lambda-1","p-ldd","use-seed?","seed","scenario","number-of-sites","wasps-per-site","percentile-selector","init-sd-occ","homogenous?","show-pop","track-monitoring-area?","base-prop-gm","release-prop-gm","show-pop?","periodicity","init-mean-occ","[step]","total-pop","prop-occupied"
"74","2","0","0.5","1.0E-4","true","14","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"60","2","0","0.5","1.0E-5","true","30","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","11008487","0.9523017078193581"
"53","2","0","0.5","1.0E-5","true","23","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","11905701","0.98227695379943"
"77","2","0","0.5","1.0E-4","true","17","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"58","2","0","0.5","1.0E-5","true","28","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","11615879","0.9601231460487176"
"54","2","0","0.5","1.0E-5","true","24","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12081820","0.98660370686248"
"55","2","0","0.5","1.0E-5","true","25","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12126759","0.9870821459031057"
"64","2","0","0.5","1.0E-4","true","4","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12276237","0.9899319784494415"
"82","2","0","0.5","1.0E-4","true","22","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"62","2","0","0.5","1.0E-4","true","2","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12278156","0.9895783495933268"
"61","2","0","0.5","1.0E-4","true","1","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12270060","0.9896199529881639"
"75","2","0","0.5","1.0E-4","true","15","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12276116","0.9894743411062342"
"65","2","0","0.5","1.0E-4","true","5","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12270199","0.9898071682649304"
